线路名称,优选地址,网络带宽,峰值速度,往返延迟,数据中心,更新时间
移动,104.16.147.230,5 MB,647 kB/s,68 毫秒,HKG,2026-05-23 23:36:10
移动,104.16.147.145,3 MB,454 kB/s,71 毫秒,HKG,2026-05-23 23:41:16
移动,104.18.43.227,5 MB,648 kB/s,113 毫秒,HKG,2026-05-23 23:48:43
移动,104.17.18.24,4 MB,535 kB/s,58 毫秒,HKG,2026-05-23 23:36:10
移动,162.159.21.22,5 MB,647 kB/s,429 毫秒,SJC,2026-05-23 23:50:42
联通,104.16.208.68,5 MB,645 kB/s,201 毫秒,LAX,2026-05-23 23:39:25
联通,104.17.57.240,4 MB,501 kB/s,185 毫秒,LAX,2026-05-23 23:46:16
联通,104.16.208.168,5 MB,645 kB/s,201 毫秒,LAX,2026-05-23 23:43:24
联通,104.25.76.81,5 MB,645 kB/s,198 毫秒,LAX,2026-05-23 23:49:26
联通,104.27.116.6,5 MB,644 kB/s,200 毫秒,LAX,2026-05-23 23:41:27
电信,162.159.7.202,5 MB,648 kB/s,93 毫秒,SIN,2026-05-23 23:44:38
电信,162.159.23.98,5 MB,647 kB/s,68 毫秒,SIN,2026-05-23 23:50:42
电信,108.162.192.157,5 MB,647 kB/s,97 毫秒,SIN,2026-05-23 23:38:37
电信,162.159.33.244,5 MB,647 kB/s,93 毫秒,SIN,2026-05-23 23:46:37
电信,162.159.0.52,5 MB,647 kB/s,96 毫秒,SIN,2026-05-23 23:42:37
